,name,country_reg,country,owner,users,purpose,description,CLO,TOO,longitude,perigee_km,apogee_km,eccentricity,inclination,period_minutes,launch_mass,dry_mass,power_watts,launch_date,expected_lifetime_years,contractor,contractor_country,launch_site,launch_vehicle,COSPAR,NORAD,comments,launch_year,launch_month,launch_day,nickname,radians,apogeeR,perigeeR,majorA,semimajorA,fDistance,minorA,semiminorA,meanmotion,period_seconds,simple_seconds,T_long,sec_per_longdegree,time_till_longitude,meanAnom,Efromcenter,eccentricAnom,trueAnom,flightpath,distanceAt,cartX,cartY,trueAnomadj,dif
43,Alsat-1B,NR (12/16),Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,325.0,661,704,0.00305,98.2,98.4,103.0,,,2016-09-26,5.0,Surrey Satellite Technologies Ltd.,United Kingdom,Satish Dhawan Space Centre,PSLV,2016-059C,41785,Imagery for agricultural and resource monitoring disaster management land use mapping and urban planning,2016,9,26,,5.672320068981571,7075,7032,14107,7053.5,43,14106.934465006918,7053.467232503459,0.001065765994558635,5895.464238171379,5904.0,5322.294103904717,16.376289550476052,5322.294103904717,5.672320068981571,21.5,5.670566279158117,0.6143750096726074,0.0017537934900683804,664.8991066123299,2365.8536416849006,6644.861815787741,1.2287500193452148,0.0
44,AlSat-1N,NR (12/16),Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,,LEO,Sun-Synchronous,147.0,661,698,0.00262,98.2,98.3,10.0,,,2016-09-26,,Surrey Satellite Technologies Ltd.,United Kingdom,Satish Dhawan Space Centre,PSLV,2016-059G,41789,Technology demonstration satellite for Algerian students.,2016,9,26,,2.5656340004316642,7069,7032,14101,7050.5,37,14100.951457259896,7050.475728629948,0.0010664462948366696,5891.703443108572,5898.0,2405.7789059360002,16.365842897523812,2405.7789059360002,2.5656340004316642,18.5,2.750724937676703,2.751721927727488,0.0009981990696247103,696.5791065116264,5013.577736478826,-4957.158393803059,5.503443855454976,0.0
45,Alsat-2A ,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,175.0,672,674,0.00014199999999999998,98.1,98.2,130.0,,,2010-07-12,5.0,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,2010-035D,36798,The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography management of agriculture forestry water mineral and oil resources crop protection management of natural disasters and land planning.,2010,7,12,(Algeria Satellite 2A),3.0543261909900767,7045,7043,14088,7044.0,2,14087.999858035206,7043.999929017603,0.0010679227641318429,5883.557798571172,5892.0,2860.0628187498755,16.343216107142144,2860.062818749875,3.0543261909900767,1.0,3.054338565355074,3.054350938844957,1.2374365120040695e-05,673.996442833065,6937.046345772334,-1222.8343986288364,6.108701877689914,0.0
71,AntelSat,NR,Uruguay,Facultad de Ingeniería de la Universidad de la República (FING) ANTEL,Civil,Technology Development,,LEO,Sun-Synchronous,143.0,612,696,0.00598,97.96,96.99,2.0,,,2014-06-19,,Facultad de Ingeniería de la Universidad de la República (FING) ANTEL,Uruguay,Dombarovsky Air Base,Dnepr,2014-033AA,40034,Developmental communications systems operating at VHFUHF and S-band and an Earth-imaging system with detectors in the near infrared and visible bands. Released from Unisat 6 June 20 at 21:07:00 from the same deployer as Aerocube 6.,2014,6,19,,2.4958208303518914,7067,6983,14050,7025.0,84,14049.74889455324,7024.87444727662,0.001072258190306404,5859.769003381665,5819.4,2327.630465232162,16.277136120504625,2327.6304652321614,2.495820830351891,42.0,2.9742230030525025,2.975216287650276,0.000996221703132997,695.4224746055816,6639.6559661638075,-2294.6471267723223,5.950432575300552,0.0
73,AprizeSat 1 ,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,29.0,696,764,0.00479,98.0,99.4,12.0,12.0,,2004-06-29,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025G,28372,Messaging services.,2004,6,29,(LatinSat-C),0.5061454830783556,7135,7067,14202,7101.0,68,14201.837205094276,7100.918602547138,0.001055090216819889,5955.116640278893,5964.0,479.71772935579975,16.541990667441368,479.7177293557997,0.5061454830783555,34.0,2.9320817411250686,2.9330756499249016,0.0009962426386776902,763.2700020486836,6492.404085502702,-2876.2302638013966,5.866151299849803,0.0
74,AprizeSat 10 ,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,232.0,613,733,0.00852,97.9,98.0,12.0,12.0,,2014-06-19,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033K,40019,Will provide tracking and data monitoring services for companies with remote or mobile assets.,2014,6,19,(exactView-13),4.049163864626845,7104,6984,14088,7044.0,120,14087.488917475675,7043.744458737838,0.0010679227641318429,5883.557798571172,5880.0,3791.626136856978,16.343216107142144,3791.6261368569776,4.049163864626845,60.0,4.0424850463185695,2.2473614066201018,0.006678811937031327,710.2638802876563,-1521.1620088265379,-6877.5409870829,4.4947228132402035,0.0
75,AprizeSat 2 ,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,308.0,694,850,0.0109,98.2,100.3,12.0,12.0,,2004-06-29,,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr 1,2004-025A,28366,Messaging services.,2004,6,29,(LatinSat-D),5.375614096142535,7221,7065,14286,7143.0,156,14285.14823164254,7142.57411582127,0.0010457981997761708,6008.028421280854,6018.0,5140.202093762509,16.688967836891262,5140.202093762508,5.375614096142535,78.0,5.366966749089177,0.92489457457522,0.008647323369996974,724.5977284071214,-1967.0933054128552,6866.394274147844,1.84978914915044,0.0
76,AprizeSat 3 ,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,119.0,559,662,0.007379999999999999,98.18,97.0,12.0,12.0,,2009-07-29,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041F,35686,Will provide tracking and data monitoring services for companies with remote or mobile assets.,2009,7,29,,2.076941809873252,7033,6930,13963,6981.5,103,13962.620097961557,6981.310048980778,0.0010822952478758514,5805.426309975189,5820.0,1919.0159191306875,16.126184194375526,1919.0159191306875,2.076941809873252,51.5,3.006321271340169,3.0073129200417736,0.000995287812423862,661.5527912148018,6731.242070232197,-1852.4404728555537,6.014625840083547,0.0
77,AprizeSat 4 ,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,98.0,604,674,0.00499,98.1,97.5,12.0,12.0,,2009-07-29,,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,2009-041D,35684,Will provide tracking and data monitoring services for companies with remote or mobile assets.,2009,7,29,,1.710422666954443,7045,6975,14020,7010.0,70,14019.825248554278,7009.912624277139,0.0010757016583215586,5841.011081997755,5850.0,1590.0530167660556,16.2250307833271,1590.0530167660559,1.7104226669544433,35.0,2.940105180156835,2.941101384426359,0.0009986454992972477,673.2722558661189,6453.952296522597,-2736.131050010257,5.882202768852718,0.0
78,AprizeSat 5,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,22.0,610,694,0.00598,98.2,97.8,12.0,12.0,,2011-08-17,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr 1,2011-044E,37792,Continuation of constellation.,2011,8,17,,0.3839724354387525,7065,6981,14046,7023.0,84,14045.748823042508,7022.874411521254,0.0010727162571691662,5857.266789039382,5868.0,357.9440815524067,16.270185525109394,357.94408155240666,0.3839724354387525,42.0,2.9744776153713945,2.975469402906195,0.0009947203398339764,693.4124617428761,6638.926132507141,-2290.633349875172,5.95093880581239,0.0
79,AprizeSat 7,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,23.0,594,653,0.004220000000000001,97.8,97.17,12.0,12.0,,2013-11-21,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066A,39416,Continuation of constellation.,2013,11,21,,0.4014257279586958,7024,6965,13989,6994.5,59,13988.875580260195,6994.437790130098,0.0010792793142206279,5821.648969263176,5830.2,371.9386841473696,16.171247136842155,371.93868414736954,0.4014257279586957,29.5,2.9027279449500916,2.9037243573935156,0.000998459385009833,652.1787259965868,6217.800002824984,-3203.4061298927186,5.807448714787031,0.0
80,AprizeSat 8 ,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,217.0,594,669,0.00536,97.8,97.99,12.0,12.0,,2013-11-21,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2013-066K,39425,Continuation of constellation.,2013,11,21,(exactView-12),3.7873644768276953,7040,6965,14005,7002.5,75,14004.799177424858,7002.399588712429,0.0010774303100077201,5831.6396418572685,5879.4,3515.1827841195204,16.19899900515908,3515.1827841195204,3.7873644768276957,37.5,3.7841524977784218,2.5022379155098204,0.003211997527481047,661.5479040118953,2016.3790681655012,-6705.8133029507135,5.004475831019641,0.0
81,AprizeSat 9 ,NR,Canada,exactEarth,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,195.0,613,715,0.00725,97.9,98.0,12.0,12.0,,2014-06-19,,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,2014-033J,40018,Will provide tracking and data monitoring services for companies with remote or mobile assets.,2014,6,19,(exactView-11),3.4033920413889427,7086,6984,14070,7035.0,102,14069.630272327699,7034.815136163849,0.0010699727381617307,5872.285417266264,5880.0,3180.821267685893,16.311903936850733,3180.821267685893,3.4033920413889422,51.0,3.4015286525536026,2.8835135589265266,0.0018634324023728364,713.2903519325364,6118.492089952983,-3471.9801241836126,5.767027117853053,0.0
99,ASNARO 1 ,Japan,Japan,Ministry of Economy Trade and Industry,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,171.0,506,507,7.269999999999999e-05,97.48,94.75,500.0,,,2014-11-06,3.0,NEC,Japan,Dombarovsky Air Base,Dnepr,2014-070A,40298,Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).,2014,11,6,(Advanced Satellite with New system Architecture for Observation),2.9845130209103035,6878,6877,13755,6877.5,1,13754.999963649581,6877.499981824791,0.0011069371587153248,5676.189707527432,5685.0,2696.1901110755302,15.767193632020645,2696.1901110755302,2.9845130209103035,0.5,2.984524392879348,2.9845357644401385,1.1371969073669572e-05,506.99383938053234,6540.987856080709,-2124.966845091588,5.969071528880277,0.0
122,Aurora  ,Russia,Russia,Sputnix Ltd.,Commercial,Technology Development,,LEO,Sun-Synchronous,355.0,583,618,0.00251,97.99,96.7,25.0,,,2014-06-19,1.0,Sputnix Ltd.,Russia,Dombarovsky Air Base,Dnepr,2014-033H,40017,Technology demonstration and testing of new satellite bus to be used for first commercial Russian remote sensing.,2014,6,19,(Tabletsat-2U-EO),6.19591884457987,6989,6954,13943,6971.5,35,13942.956071077611,6971.478035538806,0.0010846247679274963,5792.957613521507,5802.0,5712.499868889264,16.09154892644863,5712.499868889264,6.195918844579871,17.5,6.195699535293957,0.08770535603542433,0.0002193099679709771,583.068456828235,6864.521966769513,1216.6104927243841,0.17541071207084866,0.0
129,BARS-M ,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,335.0,570,586,0.00115,97.7,96.1,4000.0,,,2015-02-27,5.0,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,2015-009A,40420,Electronic intelligence gathering (ELINT).,2015,2,27,(Cosmos 2503),5.846852994181004,6957,6941,13898,6949.0,16,13897.99079003868,6948.99539501934,0.0010898968504483996,5764.935741024109,5766.0,5364.592981230769,16.013710391733635,5364.592981230768,5.846852994181004,8.0,5.846366476104613,0.4373056028574859,0.0004865183021758327,570.7590212360146,4456.360527114838,5331.924059191491,0.8746112057149718,0.0
130,BARS-M ,Russia,Russia,Ministry of Defense,Military,Earth Observation,Electronic Intelligence,LEO,Sun-Synchronous,253.0,549,594,0.00324,97.62,96.1,4000.0,,,2016-03-24,5.0,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,2016-020A,41394,,2016,3,24,(Cosmos 2515),4.4156830075456535,6965,6920,13885,6942.5,45,13884.927079390802,6942.463539695401,0.0010914278524217502,5756.848969208488,5766.0,4045.785525582631,15.991247136690244,4045.7855255826316,4.4156830075456535,22.5,4.41258751245031,1.873691800353124,0.0030954866159573487,578.143076475646,-5707.095868911531,-3953.1252005648244,3.747383600706248,0.0
132,BeeSat-1 ,Germany,Germany,Institut für Luft- und Raumfahrt,Civil,Technology Development,,LEO,Sun-Synchronous,241.0,709,718,0.0006349999999999999,98.3,99.0,1.0,,,2009-09-23,1.0,Technische Universität Berlin,Germany,Satish Dhawan Space Centre,PSLV,2009-051C,35933,Verify the behavior of new micro reaction wheels for picosatellites.,2009,9,23,(Berlin Experimental and Educational Satellite 1),4.2062434973063345,7089,7080,14169,7084.5,9,14168.997141646969,7084.498570823484,0.0010587783644278538,5934.372592298781,5940.0,3972.7327631777953,16.484368311941058,3972.732763177795,4.206243497306334,4.5,4.205688284716778,2.078052149473834,0.0005552125588514562,715.6831766454316,-3740.861948241314,-6016.317605505763,4.156104298947668,0.0
157,BeijinGalaxy-1 ,China,China,Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Civil,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,328.0,681,703,0.00156,97.9,98.6,166.0,155.0,50.0,2005-10-27,7.0,Tsinghua University/University of Surrey,China/United Kingdom,Plesetsk Cosmodrome,Kosmos 3M,2005-043A,28890,Earth observation for Disaster Monitoring Constellation (DMC); also research.,2005,10,27,(Beijing 1 [Tsinghua] Tsinghau-2 China DMC+4),5.724679946541401,7074,7052,14126,7063.0,22,14125.982868459101,7062.991434229551,0.0010636164748856571,5907.378698562424,5916.0,5382.278369801319,16.409385273784512,5382.27836980132,5.724679946541401,11.0,5.723852177387832,0.5601614467480466,0.0008277696883925062,682.6608050013683,3075.172191517304,6358.394996381214,1.1203228934960932,0.0
160,BGUSat ,NR (9/17),Israel,Ben Gurion University,Civil,Earth Science/Space Science,,LEO,Sun-Synchronous,204.0,496,506,0.000728,97.5,94.6,5.0,,,2017-02-15,,Israel Aircraft Industries (IAI)/Ben Gurion University,Israel,Satish Dhawan Space Centre,PSLV XL,2017-008BD,41999,First satellite to be controlled by Ben Gurion University for scientific experiments.,2017,2,15,(Ben Gurion University Satellite),3.5604716740684323,6877,6867,13744,6872.0,10,13743.996362048412,6871.998181024206,0.001108266329052838,5669.382117337635,5676.0,3212.6498664913265,15.748283659271207,3212.649866491326,3.5604716740684323,5.0,3.560175766588825,2.7233053497159188,0.0002959075364230257,505.5709017531208,4604.305970211424,-5101.444575362652,5.4466106994318375,0.0
161,Bird 2 ,Germany,Germany,Institute of Space Sensor Technology and Planetary Exploration,Government/Civil,Earth Observation/Technology Development,Optical Imaging,LEO,Sun-Synchronous,171.0,500,521,0.0015300000000000001,97.9,94.8,92.0,77.0,120.0,2001-10-22,1.5,Deutsches Zentrum für Luft- und Raumfahrt,Germany,Satish Dhawan Space Centre,PSLV C3,2001-049C,26959,Forest fire recognition by small satellites.,2001,10,22,(Bispectral InfraRed Detector 2),2.9845130209103035,6892,6871,13763,6881.5,21,13762.983978774371,6881.491989387186,0.0011059721572306165,5681.142392330064,5688.0,2698.5426363567803,15.780951089805733,2698.5426363567803,2.9845130209103035,10.5,2.98475200449862,2.98499080777654,0.00023898385665445786,520.8994626143203,6546.724456495195,-2120.24306970507,5.96998161555308,0.0
162,BIROS ,Germany,Germany,German Aerospace Center (DLR),Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,82.0,500,517,0.00124,97.5,94.7,130.0,,,2016-06-22,,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV XL,2016-040F,41604,Forest Fire recognition. Carries BeeSat 4 to be ejected later.,2016,6,22,(Bispectral Infrared Optical System),1.4311699866353502,6888,6871,13759,6879.5,17,13758.989497779261,6879.4947488896305,0.0011064544826329254,5678.665869948923,5682.0,1293.4738925994768,15.77407186096923,1293.4738925994768,1.4311699866353502,8.5,2.204278852609029,2.205277890167913,0.000999404352550964,513.5497208176093,-2045.0760647347206,-6568.494368893563,4.410555780335826,0.0
164,BKA 2 ,Belarus,Belarus,National Academy of Sciences,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,291.0,503,507,0.000291,97.5,94.7,400.0,110.0,300.0,2012-07-22,5.0,NPO VNIIEM,Russia,Baikonur Cosmodrome,Soyuz-Fregat,2012-039B,38708,Analog of Canopus-B. Supplies information to various government agencies.,2012,7,22,(BelKA 2),5.078908123303499,6878,6874,13752,6876.0,4,13751.999418266421,6875.999709133211,0.0011072993961257077,5674.332821966318,5682.0,4586.752364422774,15.762035616573106,4586.752364422774,5.0789081233035,2.0,5.07863642306511,1.2048205985047677,0.00027170023318026437,504.2834434027245,-5114.861239549028,4595.385589212173,2.4096411970095355,0.0
165,BlackSky Pathfinder 1,NR (12/16),USA,BlackSky Global,Commercial,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,122.0,661,701,0.0028399999999999996,98.2,98.3,44.0,,,2016-09-26,3.0,Spaceflight Industries,USA,Satish Dhawan Space Centre,PSLV,2016-059E,41787,First of two testbeds for a 60-satellite earth-observing constellation.,2016,9,26,,2.129301687433082,7072,7032,14104,7052.0,40,14103.943278388495,7051.9716391942475,0.0010661060542578472,5893.5837406471965,5898.0,1997.2700454415497,16.37106594624221,1997.2700454415499,2.129301687433082,20.0,2.7819412012890803,2.7829394087940473,0.0009995360385136368,699.7463000451771,5314.239526166025,-4635.66493731958,5.565878817588095,0.0
172,BRITE-CA-1 ,NR,Canada,University of Toronto Institute for Aerospace Studies,Civil,Space Science,,LEO,Sun-Synchronous,171.0,613,739,0.00894,97.97,98.27,10.0,,,2014-06-19,,University of Toronto Institute for Aerospace Studies,Canada,Dombarovsky Air Base,Dnepr,2014-033L,40020,Canadian contribution to the BRITE (Bright Target Explorer) mission developedby a consoritum of Canadian Austrian and Polish institutes. It will study the brightest stars in the Milky Way galaxy.,2014,6,19,(BRITE Toronto),2.9845130209103035,7110,6984,14094,7047.0,126,14093.4367703552,7046.7183851776,0.0010672408936983199,5887.316860026235,5896.2,2796.4755085124616,16.35365794451732,2796.4755085124616,2.984513020910303,63.0,3.030467441668484,3.0314544923906652,0.0009914552789487148,738.6115914187776,6876.724116577839,-1539.7028728752737,6.0629089847813304,0.0
